case,activity,resource,timestamp,Org,Project,Task,Role
Case 395,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2017/06/12 10:14:46.000,organizational unit 65463,project 503,UNKNOWN,EMPLOYEE,
Case 395,Request For Payment APPROVED by PRE_APPROVER,STAFF MEMBER,2017/06/12 10:14:54.000,organizational unit 65463,project 503,UNKNOWN,PRE_APPROVER,
Case 395,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2017/06/12 10:52:19.000,organizational unit 65463,project 503,UNKNOWN,SUPERVISOR,
Case 395,Request Payment,SYSTEM,2017/06/13 13:23:43.000,organizational unit 65463,project 503,UNKNOWN,UNDEFINED,
Case 395,Payment Handled,SYSTEM,2017/06/15 17:31:12.000,organizational unit 65463,project 503,UNKNOWN,UNDEFINED,
Case 4910,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/09/14 16:38:29.000,organizational unit 65461,project 151278,task 12206,EMPLOYEE,
Case 4910,Request For Payment REJECTED by ADMINISTRATION,STAFF MEMBER,2018/09/14 16:38:35.000,organizational unit 65461,project 151278,task 12206,ADMINISTRATION,
Case 4910,Request For Payment REJECTED by EMPLOYEE,STAFF MEMBER,2018/09/27 08:58:39.000,organizational unit 65461,project 151278,task 12206,EMPLOYEE,
Case 4910,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/09/27 14:28:22.000,organizational unit 65461,project 151278,task 12206,EMPLOYEE,
Case 4910,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/09/27 14:28:58.000,organizational unit 65461,project 151278,task 12206,ADMINISTRATION,
Case 4910,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/10/04 11:05:36.000,organizational unit 65461,project 151278,task 12206,SUPERVISOR,
Case 4910,Request Payment,SYSTEM,2018/10/25 12:02:19.000,organizational unit 65461,project 151278,task 12206,UNDEFINED,
Case 4910,Payment Handled,SYSTEM,2018/10/29 17:31:16.000,organizational unit 65461,project 151278,task 12206,UNDEFINED,
Case 3593,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/06/12 10:11:38.000,organizational unit 65473,project 147572,UNKNOWN,EMPLOYEE,
Case 3593,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/06/12 10:11:50.000,organizational unit 65473,project 147572,UNKNOWN,ADMINISTRATION,
Case 3593,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/06/12 15:34:31.000,organizational unit 65473,project 147572,UNKNOWN,SUPERVISOR,
Case 3593,Request Payment,SYSTEM,2018/06/14 08:38:47.000,organizational unit 65473,project 147572,UNKNOWN,UNDEFINED,
Case 3593,Payment Handled,SYSTEM,2018/06/18 17:31:20.000,organizational unit 65473,project 147572,UNKNOWN,UNDEFINED,
Case 3187,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/05/16 12:21:20.000,organizational unit 65461,project 147860,task 164462,EMPLOYEE,
Case 3187,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/05/16 12:21:22.000,organizational unit 65461,project 147860,task 164462,ADMINISTRATION,
Case 3187,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/05/17 11:44:13.000,organizational unit 65461,project 147860,task 164462,SUPERVISOR,
Case 3187,Request Payment,SYSTEM,2018/05/22 09:02:07.000,organizational unit 65461,project 147860,task 164462,UNDEFINED,
Case 3187,Payment Handled,SYSTEM,2018/05/24 17:31:08.000,organizational unit 65461,project 147860,task 164462,UNDEFINED,
Case 1872,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/02/20 10:03:38.000,organizational unit 65463,project 147572,UNKNOWN,EMPLOYEE,
Case 1872,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/02/20 10:03:42.000,organizational unit 65463,project 147572,UNKNOWN,ADMINISTRATION,
Case 1872,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/02/21 12:17:26.000,organizational unit 65463,project 147572,UNKNOWN,SUPERVISOR,
Case 1872,Request Payment,SYSTEM,2018/02/21 13:51:38.000,organizational unit 65463,project 147572,UNKNOWN,UNDEFINED,
Case 1872,Payment Handled,SYSTEM,2018/02/26 17:31:27.000,organizational unit 65463,project 147572,UNKNOWN,UNDEFINED,
Case 584,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2017/08/23 09:20:09.000,organizational unit 65457,project 503,UNKNOWN,EMPLOYEE,
Case 584,Request For Payment REJECTED by PRE_APPROVER,STAFF MEMBER,2017/08/23 09:20:16.000,organizational unit 65457,project 503,UNKNOWN,PRE_APPROVER,
Case 584,Request For Payment REJECTED by EMPLOYEE,STAFF MEMBER,2017/08/23 10:12:46.000,organizational unit 65457,project 503,UNKNOWN,EMPLOYEE,
Case 584,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2017/08/23 10:17:50.000,organizational unit 65457,project 503,UNKNOWN,EMPLOYEE,
Case 584,Request For Payment APPROVED by PRE_APPROVER,STAFF MEMBER,2017/08/23 10:17:53.000,organizational unit 65457,project 503,UNKNOWN,PRE_APPROVER,
Case 584,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2017/08/23 11:38:33.000,organizational unit 65457,project 503,UNKNOWN,SUPERVISOR,
Case 584,Request Payment,SYSTEM,2017/08/31 10:47:41.000,organizational unit 65457,project 503,UNKNOWN,UNDEFINED,
Case 584,Payment Handled,SYSTEM,2017/09/04 17:31:24.000,organizational unit 65457,project 503,UNKNOWN,UNDEFINED,
Case 193,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2017/03/25 12:22:41.000,organizational unit 65463,project 503,task 147934,EMPLOYEE,
Case 193,Request For Payment APPROVED by PRE_APPROVER,STAFF MEMBER,2017/03/25 12:23:59.000,organizational unit 65463,project 503,task 147934,PRE_APPROVER,
Case 193,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2017/03/27 09:30:39.000,organizational unit 65463,project 503,task 147934,SUPERVISOR,
Case 193,Request Payment,SYSTEM,2017/03/28 08:43:33.000,organizational unit 65463,project 503,task 147934,UNDEFINED,
Case 193,Payment Handled,SYSTEM,2017/04/03 17:31:12.000,organizational unit 65463,project 503,task 147934,UNDEFINED,
Case 2509,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/03/29 09:37:34.000,organizational unit 65454,project 147572,UNKNOWN,EMPLOYEE,
Case 2509,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/03/29 09:37:47.000,organizational unit 65454,project 147572,UNKNOWN,ADMINISTRATION,
Case 2509,Request For Payment APPROVED by BUDGET OWNER,STAFF MEMBER,2018/03/29 10:36:33.000,organizational unit 65454,project 147572,UNKNOWN,BUDGET OWNER,
Case 2509,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/04/05 05:15:21.000,organizational unit 65454,project 147572,UNKNOWN,SUPERVISOR,
Case 2509,Request Payment,SYSTEM,2018/04/09 11:55:44.000,organizational unit 65454,project 147572,UNKNOWN,UNDEFINED,
Case 2509,Payment Handled,SYSTEM,2018/04/12 17:31:12.000,organizational unit 65454,project 147572,UNKNOWN,UNDEFINED,
Case 2563,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/04/03 13:43:22.000,organizational unit 65454,project 147701,UNKNOWN,EMPLOYEE,
Case 2563,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/04/03 13:43:29.000,organizational unit 65454,project 147701,UNKNOWN,ADMINISTRATION,
Case 2563,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/04/05 10:50:58.000,organizational unit 65454,project 147701,UNKNOWN,SUPERVISOR,
Case 2563,Request Payment,SYSTEM,2018/04/09 11:15:24.000,organizational unit 65454,project 147701,UNKNOWN,UNDEFINED,
Case 2563,Payment Handled,SYSTEM,2018/04/12 17:31:12.000,organizational unit 65454,project 147701,UNKNOWN,UNDEFINED,
Case 6826,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/12/20 15:22:09.000,organizational unit 65489,project 147572,UNKNOWN,EMPLOYEE,
Case 6826,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/12/20 15:22:15.000,organizational unit 65489,project 147572,UNKNOWN,ADMINISTRATION,
Case 6826,Request For Payment APPROVED by BUDGET OWNER,STAFF MEMBER,2018/12/21 12:24:40.000,organizational unit 65489,project 147572,UNKNOWN,BUDGET OWNER,
Case 6826,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/12/28 05:15:50.000,organizational unit 65489,project 147572,UNKNOWN,SUPERVISOR,
Case 6826,Request Payment,SYSTEM,2019/01/02 08:55:02.000,organizational unit 65489,project 147572,UNKNOWN,UNDEFINED,
Case 6826,Payment Handled,SYSTEM,2019/01/03 11:59:16.000,organizational unit 65489,project 147572,UNKNOWN,UNDEFINED,
Case 6525,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/12/10 21:57:58.000,organizational unit 65454,project 147556,UNKNOWN,EMPLOYEE,
Case 6525,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/12/10 21:58:05.000,organizational unit 65454,project 147556,UNKNOWN,ADMINISTRATION,
Case 6525,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/12/12 09:34:16.000,organizational unit 65454,project 147556,UNKNOWN,SUPERVISOR,
Case 6525,Request Payment,SYSTEM,2018/12/12 09:48:41.000,organizational unit 65454,project 147556,UNKNOWN,UNDEFINED,
Case 6525,Payment Handled,SYSTEM,2018/12/13 17:31:08.000,organizational unit 65454,project 147556,UNKNOWN,UNDEFINED,
Case 1722,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/02/08 11:41:29.000,organizational unit 65458,project 147546,UNKNOWN,EMPLOYEE,
Case 1722,Request For Payment REJECTED by ADMINISTRATION,STAFF MEMBER,2018/02/08 11:48:38.000,organizational unit 65458,project 147546,UNKNOWN,ADMINISTRATION,
Case 1722,Request For Payment REJECTED by EMPLOYEE,STAFF MEMBER,2018/02/08 14:10:05.000,organizational unit 65458,project 147546,UNKNOWN,EMPLOYEE,
Case 1722,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/02/08 14:44:21.000,organizational unit 65458,project 147546,UNKNOWN,EMPLOYEE,
Case 1722,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/02/08 14:44:26.000,organizational unit 65458,project 147546,UNKNOWN,ADMINISTRATION,
Case 1722,Request For Payment APPROVED by BUDGET OWNER,STAFF MEMBER,2018/02/08 14:48:56.000,organizational unit 65458,project 147546,UNKNOWN,BUDGET OWNER,
Case 1722,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/02/09 09:58:12.000,organizational unit 65458,project 147546,UNKNOWN,SUPERVISOR,
Case 1722,Request Payment,SYSTEM,2018/02/13 14:03:14.000,organizational unit 65458,project 147546,UNKNOWN,UNDEFINED,
Case 1722,Payment Handled,SYSTEM,2018/02/15 17:31:19.000,organizational unit 65458,project 147546,UNKNOWN,UNDEFINED,
Case 466,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2017/07/04 11:45:15.000,organizational unit 65458,project 147531,UNKNOWN,EMPLOYEE,
Case 466,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2017/07/04 11:45:27.000,organizational unit 65458,project 147531,UNKNOWN,SUPERVISOR,
Case 466,Request Payment,SYSTEM,2017/07/07 08:44:37.000,organizational unit 65458,project 147531,UNKNOWN,UNDEFINED,
Case 466,Payment Handled,SYSTEM,2017/07/10 17:31:09.000,organizational unit 65458,project 147531,UNKNOWN,UNDEFINED,
Case 5992,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/11/15 14:59:07.000,organizational unit 65462,project 149268,task 52242,EMPLOYEE,
Case 5992,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/11/15 15:01:56.000,organizational unit 65462,project 149268,task 52242,ADMINISTRATION,
Case 5992,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/11/20 11:41:03.000,organizational unit 65462,project 149268,task 52242,SUPERVISOR,
Case 5992,Request Payment,SYSTEM,2018/11/22 13:30:16.000,organizational unit 65462,project 149268,task 52242,UNDEFINED,
Case 5992,Payment Handled,SYSTEM,2018/11/26 17:31:23.000,organizational unit 65462,project 149268,task 52242,UNDEFINED,
Case 645,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2017/09/12 17:27:44.000,organizational unit 65463,project 147620,UNKNOWN,EMPLOYEE,
Case 645,Request For Payment APPROVED by PRE_APPROVER,STAFF MEMBER,2017/09/12 17:29:05.000,organizational unit 65463,project 147620,UNKNOWN,PRE_APPROVER,
Case 645,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2017/09/14 10:12:49.000,organizational unit 65463,project 147620,UNKNOWN,SUPERVISOR,
Case 645,Request Payment,SYSTEM,2017/09/14 13:22:50.000,organizational unit 65463,project 147620,UNKNOWN,UNDEFINED,
Case 645,Payment Handled,SYSTEM,2017/09/18 17:30:56.000,organizational unit 65463,project 147620,UNKNOWN,UNDEFINED,
Case 5239,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/10/04 11:43:08.000,organizational unit 65456,project 147701,UNKNOWN,EMPLOYEE,
Case 5239,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/10/04 11:43:13.000,organizational unit 65456,project 147701,UNKNOWN,ADMINISTRATION,
Case 5239,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/10/08 11:39:06.000,organizational unit 65456,project 147701,UNKNOWN,SUPERVISOR,
Case 5239,Request Payment,SYSTEM,2018/10/11 08:55:50.000,organizational unit 65456,project 147701,UNKNOWN,UNDEFINED,
Case 5239,Payment Handled,SYSTEM,2018/10/15 17:31:13.000,organizational unit 65456,project 147701,UNKNOWN,UNDEFINED,
Case 6191,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/11/26 16:18:21.000,organizational unit 65458,UNKNOWN,UNKNOWN,EMPLOYEE,
Case 6191,Request For Payment REJECTED by ADMINISTRATION,STAFF MEMBER,2018/11/26 16:18:24.000,organizational unit 65458,UNKNOWN,UNKNOWN,ADMINISTRATION,
Case 6191,Request For Payment REJECTED by EMPLOYEE,STAFF MEMBER,2018/11/26 20:49:29.000,organizational unit 65458,UNKNOWN,UNKNOWN,EMPLOYEE,
Case 1191,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/01/10 14:21:58.000,organizational unit 65480,project 503,UNKNOWN,EMPLOYEE,
Case 1191,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/01/10 14:22:22.000,organizational unit 65480,project 503,UNKNOWN,ADMINISTRATION,
Case 1191,Request For Payment APPROVED by BUDGET OWNER,STAFF MEMBER,2018/02/05 09:49:43.000,organizational unit 65480,project 503,UNKNOWN,BUDGET OWNER,
Case 1191,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/02/06 08:43:02.000,organizational unit 65480,project 503,UNKNOWN,SUPERVISOR,
Case 1191,Request Payment,SYSTEM,2018/02/08 11:41:09.000,organizational unit 65480,project 503,UNKNOWN,UNDEFINED,
Case 1191,Payment Handled,SYSTEM,2018/02/12 17:31:22.000,organizational unit 65480,project 503,UNKNOWN,UNDEFINED,
Case 4429,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/08/09 17:52:18.000,organizational unit 65463,project 147556,task 162277,EMPLOYEE,
Case 4429,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/08/09 17:52:44.000,organizational unit 65463,project 147556,task 162277,ADMINISTRATION,
Case 4429,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/08/10 08:32:07.000,organizational unit 65463,project 147556,task 162277,SUPERVISOR,
Case 4429,Request Payment,SYSTEM,2018/08/13 15:31:20.000,organizational unit 65463,project 147556,task 162277,UNDEFINED,
Case 4429,Payment Handled,SYSTEM,2018/08/16 17:31:24.000,organizational unit 65463,project 147556,task 162277,UNDEFINED,
Case 3099,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/05/08 11:52:49.000,organizational unit 65465,project 147843,task 14501,EMPLOYEE,
Case 3099,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/05/08 11:52:55.000,organizational unit 65465,project 147843,task 14501,ADMINISTRATION,
Case 3099,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/05/15 16:15:37.000,organizational unit 65465,project 147843,task 14501,SUPERVISOR,
Case 3099,Request Payment,SYSTEM,2018/05/17 10:36:54.000,organizational unit 65465,project 147843,task 14501,UNDEFINED,
Case 3099,Payment Handled,SYSTEM,2018/05/24 17:31:08.000,organizational unit 65465,project 147843,task 14501,UNDEFINED,
Case 6591,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/12/13 09:03:53.000,organizational unit 65465,project 147556,UNKNOWN,EMPLOYEE,
Case 6591,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/12/13 09:03:58.000,organizational unit 65465,project 147556,UNKNOWN,ADMINISTRATION,
Case 6591,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/12/13 15:16:26.000,organizational unit 65465,project 147556,UNKNOWN,SUPERVISOR,
Case 6591,Request Payment,SYSTEM,2018/12/13 15:58:27.000,organizational unit 65465,project 147556,UNKNOWN,UNDEFINED,
Case 6591,Payment Handled,SYSTEM,2018/12/17 17:31:09.000,organizational unit 65465,project 147556,UNKNOWN,UNDEFINED,
Case 5066,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/09/25 14:08:32.000,organizational unit 65457,project 151278,task 6280,EMPLOYEE,
Case 5066,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/09/25 14:08:48.000,organizational unit 65457,project 151278,task 6280,ADMINISTRATION,
Case 5066,Request For Payment APPROVED by BUDGET OWNER,STAFF MEMBER,2018/10/01 14:19:34.000,organizational unit 65457,project 151278,task 6280,BUDGET OWNER,
Case 5066,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/10/02 08:25:30.000,organizational unit 65457,project 151278,task 6280,SUPERVISOR,
Case 5066,Request Payment,SYSTEM,2018/10/09 10:47:48.000,organizational unit 65457,project 151278,task 6280,UNDEFINED,
Case 5066,Payment Handled,SYSTEM,2018/10/11 17:31:08.000,organizational unit 65457,project 151278,task 6280,UNDEFINED,
Case 4720,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/09/04 11:17:05.000,organizational unit 65461,project 147556,UNKNOWN,EMPLOYEE,
Case 4720,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/09/04 11:17:28.000,organizational unit 65461,project 147556,UNKNOWN,ADMINISTRATION,
Case 4720,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/09/12 10:33:59.000,organizational unit 65461,project 147556,UNKNOWN,SUPERVISOR,
Case 4720,Request Payment,SYSTEM,2018/09/13 08:43:19.000,organizational unit 65461,project 147556,UNKNOWN,UNDEFINED,
Case 4720,Payment Handled,SYSTEM,2018/09/17 17:31:15.000,organizational unit 65461,project 147556,UNKNOWN,UNDEFINED,
Case 130,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2017/03/02 12:18:20.000,organizational unit 65458,project 147620,UNKNOWN,EMPLOYEE,
Case 130,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2017/03/02 12:18:57.000,organizational unit 65458,project 147620,UNKNOWN,SUPERVISOR,
Case 130,Request Payment,SYSTEM,2017/03/09 15:03:03.000,organizational unit 65458,project 147620,UNKNOWN,UNDEFINED,
Case 130,Payment Handled,SYSTEM,2017/03/13 17:31:05.000,organizational unit 65458,project 147620,UNKNOWN,UNDEFINED,
Case 1425,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/01/23 14:16:48.000,organizational unit 65456,project 148052,UNKNOWN,EMPLOYEE,
Case 1425,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/01/23 14:17:34.000,organizational unit 65456,project 148052,UNKNOWN,ADMINISTRATION,
Case 1425,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/01/23 14:38:21.000,organizational unit 65456,project 148052,UNKNOWN,SUPERVISOR,
Case 1425,Request Payment,SYSTEM,2018/01/26 11:56:42.000,organizational unit 65456,project 148052,UNKNOWN,UNDEFINED,
Case 1425,Payment Handled,SYSTEM,2018/01/29 17:31:11.000,organizational unit 65456,project 148052,UNKNOWN,UNDEFINED,
Case 5934,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/11/12 11:48:56.000,organizational unit 65468,project 148052,UNKNOWN,EMPLOYEE,
Case 5934,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/11/12 11:49:06.000,organizational unit 65468,project 148052,UNKNOWN,ADMINISTRATION,
Case 5934,Request For Payment APPROVED by BUDGET OWNER,STAFF MEMBER,2018/11/13 13:40:35.000,organizational unit 65468,project 148052,UNKNOWN,BUDGET OWNER,
Case 5934,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/11/15 07:50:41.000,organizational unit 65468,project 148052,UNKNOWN,SUPERVISOR,
Case 5934,Request Payment,SYSTEM,2018/11/19 12:21:38.000,organizational unit 65468,project 148052,UNKNOWN,UNDEFINED,
Case 5934,Payment Handled,SYSTEM,2018/11/22 17:31:34.000,organizational unit 65468,project 148052,UNKNOWN,UNDEFINED,
Case 4829,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/09/11 10:51:11.000,organizational unit 65461,project 147556,task 155864,EMPLOYEE,
Case 4829,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/09/11 10:51:18.000,organizational unit 65461,project 147556,task 155864,ADMINISTRATION,
Case 4829,Request For Payment REJECTED by SUPERVISOR,STAFF MEMBER,2018/09/12 11:40:21.000,organizational unit 65461,project 147556,task 155864,SUPERVISOR,
Case 4829,Request For Payment REJECTED by EMPLOYEE,STAFF MEMBER,2018/09/13 13:52:09.000,organizational unit 65461,project 147556,task 155864,EMPLOYEE,
Case 4829,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/09/13 13:55:53.000,organizational unit 65461,project 147556,task 155864,EMPLOYEE,
Case 4829,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/09/13 13:55:57.000,organizational unit 65461,project 147556,task 155864,ADMINISTRATION,
Case 4829,Request For Payment APPROVED by BUDGET OWNER,STAFF MEMBER,2018/09/20 15:17:43.000,organizational unit 65461,project 147556,task 155864,BUDGET OWNER,
Case 4829,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/09/25 07:44:20.000,organizational unit 65461,project 147556,task 155864,SUPERVISOR,
Case 4829,Request Payment,SYSTEM,2018/09/28 11:31:17.000,organizational unit 65461,project 147556,task 155864,UNDEFINED,
Case 4829,Payment Handled,SYSTEM,2018/10/01 17:31:15.000,organizational unit 65461,project 147556,task 155864,UNDEFINED,
Case 5376,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/10/11 14:40:49.000,organizational unit 65476,project 147546,UNKNOWN,EMPLOYEE,
Case 5376,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/10/11 14:40:51.000,organizational unit 65476,project 147546,UNKNOWN,ADMINISTRATION,
Case 5376,Request For Payment APPROVED by BUDGET OWNER,STAFF MEMBER,2018/10/15 11:10:59.000,organizational unit 65476,project 147546,UNKNOWN,BUDGET OWNER,
Case 5376,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/10/15 12:46:48.000,organizational unit 65476,project 147546,UNKNOWN,SUPERVISOR,
Case 5376,Request Payment,SYSTEM,2018/10/23 10:11:48.000,organizational unit 65476,project 147546,UNKNOWN,UNDEFINED,
Case 5376,Payment Handled,SYSTEM,2018/10/25 17:31:43.000,organizational unit 65476,project 147546,UNKNOWN,UNDEFINED,
Case 4943,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/09/17 20:14:56.000,organizational unit 65475,project 147546,task 155229,EMPLOYEE,
Case 4943,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/09/17 20:16:00.000,organizational unit 65475,project 147546,task 155229,ADMINISTRATION,
Case 4943,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/09/27 09:10:30.000,organizational unit 65475,project 147546,task 155229,SUPERVISOR,
Case 4943,Request Payment,SYSTEM,2018/09/27 14:10:31.000,organizational unit 65475,project 147546,task 155229,UNDEFINED,
Case 4943,Payment Handled,SYSTEM,2018/10/01 17:31:15.000,organizational unit 65475,project 147546,task 155229,UNDEFINED,
Case 5127,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/09/27 15:21:01.000,organizational unit 65463,project 147556,UNKNOWN,EMPLOYEE,
Case 5127,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/09/27 15:22:37.000,organizational unit 65463,project 147556,UNKNOWN,ADMINISTRATION,
Case 5127,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/09/28 10:43:16.000,organizational unit 65463,project 147556,UNKNOWN,SUPERVISOR,
Case 5127,Request Payment,SYSTEM,2018/09/28 11:42:40.000,organizational unit 65463,project 147556,UNKNOWN,UNDEFINED,
Case 5127,Payment Handled,SYSTEM,2018/10/01 17:31:15.000,organizational unit 65463,project 147556,UNKNOWN,UNDEFINED,
Case 2395,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/03/22 08:27:49.000,organizational unit 65461,project 147556,UNKNOWN,EMPLOYEE,
Case 2395,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/03/22 08:28:02.000,organizational unit 65461,project 147556,UNKNOWN,ADMINISTRATION,
Case 2395,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/03/28 11:53:01.000,organizational unit 65461,project 147556,UNKNOWN,SUPERVISOR,
Case 2395,Request Payment,SYSTEM,2018/03/29 09:45:16.000,organizational unit 65461,project 147556,UNKNOWN,UNDEFINED,
Case 2395,Payment Handled,SYSTEM,2018/04/05 17:30:53.000,organizational unit 65461,project 147556,UNKNOWN,UNDEFINED,
Case 2046,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/03/01 09:57:28.000,organizational unit 65463,project 503,UNKNOWN,EMPLOYEE,
Case 2046,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/03/01 09:57:33.000,organizational unit 65463,project 503,UNKNOWN,ADMINISTRATION,
Case 2046,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/03/07 09:01:12.000,organizational unit 65463,project 503,UNKNOWN,SUPERVISOR,
Case 2046,Request Payment,SYSTEM,2018/03/08 13:26:20.000,organizational unit 65463,project 503,UNKNOWN,UNDEFINED,
Case 2046,Payment Handled,SYSTEM,2018/03/12 17:31:16.000,organizational unit 65463,project 503,UNKNOWN,UNDEFINED,
Case 2501,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/03/28 12:07:27.000,organizational unit 65468,project 147582,UNKNOWN,EMPLOYEE,
