case,activity,resource,timestamp,Org,Project,Task,Role
2981,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/04/30 08:48:38.000,organizational unit 65456,project 147843,UNKNOWN,EMPLOYEE
2981,Request For Payment REJECTED by ADMINISTRATION,STAFF MEMBER,2018/04/30 08:49:32.000,organizational unit 65456,project 147843,UNKNOWN,ADMINISTRATION
2981,Request For Payment REJECTED by EMPLOYEE,STAFF MEMBER,2018/04/30 10:27:16.000,organizational unit 65456,project 147843,UNKNOWN,EMPLOYEE
2981,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/04/30 10:32:46.000,organizational unit 65456,project 147843,UNKNOWN,EMPLOYEE
2981,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/04/30 10:32:49.000,organizational unit 65456,project 147843,UNKNOWN,ADMINISTRATION
2981,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/04/30 11:32:03.000,organizational unit 65456,project 147843,UNKNOWN,SUPERVISOR
2981,Request Payment,SYSTEM,2018/05/03 13:41:30.000,organizational unit 65456,project 147843,UNKNOWN,UNDEFINED
2981,Payment Handled,SYSTEM,2018/05/07 17:31:15.000,organizational unit 65456,project 147843,UNKNOWN,UNDEFINED
2679,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/04/09 09:18:06.000,organizational unit 65469,UNKNOWN,UNKNOWN,EMPLOYEE
2679,Request For Payment REJECTED by ADMINISTRATION,STAFF MEMBER,2018/04/09 09:19:13.000,organizational unit 65469,UNKNOWN,UNKNOWN,ADMINISTRATION
2679,Request For Payment REJECTED by EMPLOYEE,STAFF MEMBER,2018/04/09 15:07:48.000,organizational unit 65469,UNKNOWN,UNKNOWN,EMPLOYEE
344,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2017/05/19 15:29:56.000,organizational unit 65457,project 503,UNKNOWN,EMPLOYEE
344,Request For Payment APPROVED by PRE_APPROVER,STAFF MEMBER,2017/05/19 15:30:11.000,organizational unit 65457,project 503,UNKNOWN,PRE_APPROVER
344,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2017/05/22 13:32:14.000,organizational unit 65457,project 503,UNKNOWN,SUPERVISOR
344,Request Payment,SYSTEM,2017/05/24 11:19:45.000,organizational unit 65457,project 503,UNKNOWN,UNDEFINED
344,Payment Handled,SYSTEM,2017/05/29 17:30:54.000,organizational unit 65457,project 503,UNKNOWN,UNDEFINED
1219,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/01/12 11:24:28.000,organizational unit 65469,project 147531,UNKNOWN,EMPLOYEE
1219,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/01/12 11:38:49.000,organizational unit 65469,project 147531,UNKNOWN,ADMINISTRATION
1219,Request For Payment APPROVED by BUDGET OWNER,STAFF MEMBER,2018/01/15 11:06:25.000,organizational unit 65469,project 147531,UNKNOWN,BUDGET OWNER
1219,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/01/16 13:48:15.000,organizational unit 65469,project 147531,UNKNOWN,SUPERVISOR
1219,Request Payment,SYSTEM,2018/01/17 08:27:25.000,organizational unit 65469,project 147531,UNKNOWN,UNDEFINED
1219,Payment Handled,SYSTEM,2018/01/22 17:31:18.000,organizational unit 65469,project 147531,UNKNOWN,UNDEFINED
5490,Request For Payment SAVED by EMPLOYEE,STAFF MEMBER,2018/10/18 09:53:11.000,organizational unit 65460,UNKNOWN,UNKNOWN,EMPLOYEE
5534,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/10/22 09:25:30.000,organizational unit 65461,project 147556,UNKNOWN,EMPLOYEE
5534,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/10/22 09:25:33.000,organizational unit 65461,project 147556,UNKNOWN,ADMINISTRATION
5534,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/10/24 08:19:29.000,organizational unit 65461,project 147556,UNKNOWN,SUPERVISOR
5534,Request Payment,SYSTEM,2018/10/24 15:20:27.000,organizational unit 65461,project 147556,UNKNOWN,UNDEFINED
5534,Payment Handled,SYSTEM,2018/10/25 17:31:43.000,organizational unit 65461,project 147556,UNKNOWN,UNDEFINED
5591,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/10/24 13:27:23.000,organizational unit 65461,project 503,task 27800,EMPLOYEE
5591,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/10/24 13:27:33.000,organizational unit 65461,project 503,task 27800,ADMINISTRATION
5591,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/10/24 14:26:58.000,organizational unit 65461,project 503,task 27800,SUPERVISOR
5591,Request Payment,SYSTEM,2018/10/25 12:44:40.000,organizational unit 65461,project 503,task 27800,UNDEFINED
5591,Payment Handled,SYSTEM,2018/10/29 17:31:16.000,organizational unit 65461,project 503,task 27800,UNDEFINED
5963,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/11/13 22:15:47.000,organizational unit 65469,project 147546,UNKNOWN,EMPLOYEE
5963,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/11/13 22:15:56.000,organizational unit 65469,project 147546,UNKNOWN,ADMINISTRATION
5963,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/11/14 10:37:55.000,organizational unit 65469,project 147546,UNKNOWN,SUPERVISOR
5963,Request Payment,SYSTEM,2018/11/14 15:03:58.000,organizational unit 65469,project 147546,UNKNOWN,UNDEFINED
5963,Payment Handled,SYSTEM,2018/11/15 17:31:20.000,organizational unit 65469,project 147546,UNKNOWN,UNDEFINED
6489,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/12/10 09:10:59.000,organizational unit 65487,project 148681,UNKNOWN,EMPLOYEE
6489,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/12/10 09:11:04.000,organizational unit 65487,project 148681,UNKNOWN,ADMINISTRATION
6489,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/12/10 09:41:51.000,organizational unit 65487,project 148681,UNKNOWN,SUPERVISOR
6489,Request Payment,SYSTEM,2018/12/10 15:34:49.000,organizational unit 65487,project 148681,UNKNOWN,UNDEFINED
6489,Payment Handled,SYSTEM,2018/12/13 17:31:08.000,organizational unit 65487,project 148681,UNKNOWN,UNDEFINED
1218,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/01/12 10:58:26.000,organizational unit 65454,project 147556,UNKNOWN,EMPLOYEE
1218,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/01/12 10:58:30.000,organizational unit 65454,project 147556,UNKNOWN,ADMINISTRATION
1218,Request For Payment APPROVED by BUDGET OWNER,STAFF MEMBER,2018/01/15 10:17:25.000,organizational unit 65454,project 147556,UNKNOWN,BUDGET OWNER
1218,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/01/27 05:15:30.000,organizational unit 65454,project 147556,UNKNOWN,SUPERVISOR
1218,Request Payment,SYSTEM,2018/01/30 17:23:56.000,organizational unit 65454,project 147556,UNKNOWN,UNDEFINED
1218,Payment Handled,SYSTEM,2018/02/01 17:31:18.000,organizational unit 65454,project 147556,UNKNOWN,UNDEFINED
4824,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/09/11 09:03:58.000,organizational unit 65456,project 147546,UNKNOWN,EMPLOYEE
4824,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/09/11 09:08:11.000,organizational unit 65456,project 147546,UNKNOWN,ADMINISTRATION
4824,Request For Payment APPROVED by BUDGET OWNER,STAFF MEMBER,2018/09/11 10:56:13.000,organizational unit 65456,project 147546,UNKNOWN,BUDGET OWNER
4824,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/09/14 12:01:37.000,organizational unit 65456,project 147546,UNKNOWN,SUPERVISOR
4824,Request Payment,SYSTEM,2018/09/24 14:26:06.000,organizational unit 65456,project 147546,UNKNOWN,UNDEFINED
4824,Payment Handled,SYSTEM,2018/09/27 17:31:25.000,organizational unit 65456,project 147546,UNKNOWN,UNDEFINED
1272,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/01/16 09:15:34.000,organizational unit 65463,project 503,task 68176,EMPLOYEE
1272,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/01/16 09:15:43.000,organizational unit 65463,project 503,task 68176,ADMINISTRATION
1272,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/01/16 10:08:23.000,organizational unit 65463,project 503,task 68176,SUPERVISOR
1272,Request Payment,SYSTEM,2018/01/16 11:00:55.000,organizational unit 65463,project 503,task 68176,UNDEFINED
1272,Payment Handled,SYSTEM,2018/01/18 17:31:10.000,organizational unit 65463,project 503,task 68176,UNDEFINED
5509,Request For Payment SAVED by EMPLOYEE,STAFF MEMBER,2018/10/19 11:05:40.000,organizational unit 65468,UNKNOWN,UNKNOWN,EMPLOYEE
1758,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/02/12 10:28:26.000,organizational unit 65475,project 151000,UNKNOWN,EMPLOYEE
1758,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/02/12 10:28:42.000,organizational unit 65475,project 151000,UNKNOWN,ADMINISTRATION
1758,Request For Payment APPROVED by BUDGET OWNER,STAFF MEMBER,2018/02/13 09:26:09.000,organizational unit 65475,project 151000,UNKNOWN,BUDGET OWNER
1758,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/02/15 07:39:42.000,organizational unit 65475,project 151000,UNKNOWN,SUPERVISOR
1758,Request Payment,SYSTEM,2018/02/19 10:14:55.000,organizational unit 65475,project 151000,UNKNOWN,UNDEFINED
1758,Payment Handled,SYSTEM,2018/02/22 17:30:41.000,organizational unit 65475,project 151000,UNKNOWN,UNDEFINED
691,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2017/09/22 18:37:59.000,organizational unit 65463,project 147546,task 74099,EMPLOYEE
691,Request For Payment APPROVED by PRE_APPROVER,STAFF MEMBER,2017/09/22 18:43:55.000,organizational unit 65463,project 147546,task 74099,PRE_APPROVER
691,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2017/09/25 09:06:22.000,organizational unit 65463,project 147546,task 74099,SUPERVISOR
691,Request Payment,SYSTEM,2017/09/28 11:30:10.000,organizational unit 65463,project 147546,task 74099,UNDEFINED
691,Payment Handled,SYSTEM,2017/10/02 17:30:51.000,organizational unit 65463,project 147546,task 74099,UNDEFINED
2278,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/03/14 11:10:09.000,organizational unit 65477,project 147588,UNKNOWN,EMPLOYEE
2278,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/03/14 11:10:21.000,organizational unit 65477,project 147588,UNKNOWN,ADMINISTRATION
2278,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/03/19 12:23:54.000,organizational unit 65477,project 147588,UNKNOWN,SUPERVISOR
2278,Request Payment,SYSTEM,2018/03/20 09:30:48.000,organizational unit 65477,project 147588,UNKNOWN,UNDEFINED
2278,Payment Handled,SYSTEM,2018/03/22 17:31:12.000,organizational unit 65477,project 147588,UNKNOWN,UNDEFINED
2507,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/03/29 08:24:47.000,organizational unit 65454,project 147556,UNKNOWN,EMPLOYEE
2507,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/03/29 08:24:57.000,organizational unit 65454,project 147556,UNKNOWN,ADMINISTRATION
2507,Request For Payment APPROVED by BUDGET OWNER,STAFF MEMBER,2018/03/29 08:55:14.000,organizational unit 65454,project 147556,UNKNOWN,BUDGET OWNER
2507,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/04/03 13:23:53.000,organizational unit 65454,project 147556,UNKNOWN,SUPERVISOR
2507,Request Payment,SYSTEM,2018/04/04 08:11:09.000,organizational unit 65454,project 147556,UNKNOWN,UNDEFINED
2507,Payment Handled,SYSTEM,2018/04/05 17:30:53.000,organizational unit 65454,project 147556,UNKNOWN,UNDEFINED
696,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2017/09/25 15:17:40.000,organizational unit 65458,project 147572,UNKNOWN,EMPLOYEE
696,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2017/09/26 09:35:43.000,organizational unit 65458,project 147572,UNKNOWN,SUPERVISOR
696,Request Payment,SYSTEM,2017/09/26 12:03:48.000,organizational unit 65458,project 147572,UNKNOWN,UNDEFINED
696,Payment Handled,SYSTEM,2017/09/28 17:31:06.000,organizational unit 65458,project 147572,UNKNOWN,UNDEFINED
6024,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/11/18 21:56:50.000,organizational unit 65461,project 147556,task 173926,EMPLOYEE
6024,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/11/18 21:59:10.000,organizational unit 65461,project 147556,task 173926,ADMINISTRATION
6024,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/11/20 11:46:53.000,organizational unit 65461,project 147556,task 173926,SUPERVISOR
6024,Request Payment,SYSTEM,2018/11/20 15:37:09.000,organizational unit 65461,project 147556,task 173926,UNDEFINED
6024,Payment Handled,SYSTEM,2018/11/22 17:31:34.000,organizational unit 65461,project 147556,task 173926,UNDEFINED
606,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2017/09/02 13:59:36.000,organizational unit 65460,project 147620,UNKNOWN,EMPLOYEE
606,Request For Payment APPROVED by SUPERVISOR,STAFF MEMBER,2017/09/02 13:59:58.000,organizational unit 65460,project 147620,UNKNOWN,SUPERVISOR
606,Request For Payment FINAL_APPROVED by DIRECTOR,STAFF MEMBER,2017/09/04 10:05:36.000,organizational unit 65460,project 147620,UNKNOWN,DIRECTOR
606,Request Payment,SYSTEM,2017/09/11 08:33:48.000,organizational unit 65460,project 147620,UNKNOWN,UNDEFINED
606,Payment Handled,SYSTEM,2017/09/14 17:30:52.000,organizational unit 65460,project 147620,UNKNOWN,UNDEFINED
1977,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/02/26 10:49:15.000,organizational unit 65489,project 157178,UNKNOWN,EMPLOYEE
1977,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/02/26 10:49:21.000,organizational unit 65489,project 157178,UNKNOWN,ADMINISTRATION
1977,Request For Payment APPROVED by BUDGET OWNER,STAFF MEMBER,2018/03/09 16:36:29.000,organizational unit 65489,project 157178,UNKNOWN,BUDGET OWNER
1977,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/03/12 14:39:21.000,organizational unit 65489,project 157178,UNKNOWN,SUPERVISOR
1977,Request Payment,SYSTEM,2018/03/13 07:06:05.000,organizational unit 65489,project 157178,UNKNOWN,UNDEFINED
1977,Payment Handled,SYSTEM,2018/03/15 17:31:16.000,organizational unit 65489,project 157178,UNKNOWN,UNDEFINED
5843,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/11/06 14:45:23.000,organizational unit 65465,project 147546,UNKNOWN,EMPLOYEE
5843,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/11/06 14:45:30.000,organizational unit 65465,project 147546,UNKNOWN,ADMINISTRATION
5843,Request For Payment APPROVED by BUDGET OWNER,STAFF MEMBER,2018/11/06 15:58:41.000,organizational unit 65465,project 147546,UNKNOWN,BUDGET OWNER
5843,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/11/08 16:16:42.000,organizational unit 65465,project 147546,UNKNOWN,SUPERVISOR
5843,Request Payment,SYSTEM,2018/11/14 12:47:03.000,organizational unit 65465,project 147546,UNKNOWN,UNDEFINED
5843,Payment Handled,SYSTEM,2018/11/15 17:31:20.000,organizational unit 65465,project 147546,UNKNOWN,UNDEFINED
3687,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/06/18 13:42:46.000,organizational unit 65469,project 147649,task 152751,EMPLOYEE
3687,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/06/18 13:42:54.000,organizational unit 65469,project 147649,task 152751,ADMINISTRATION
3687,Request For Payment APPROVED by BUDGET OWNER,STAFF MEMBER,2018/06/18 16:29:18.000,organizational unit 65469,project 147649,task 152751,BUDGET OWNER
3687,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/06/25 05:15:19.000,organizational unit 65469,project 147649,task 152751,SUPERVISOR
3687,Request Payment,SYSTEM,2018/07/10 13:26:03.000,organizational unit 65469,project 147649,task 152751,UNDEFINED
3687,Payment Handled,SYSTEM,2018/07/12 17:31:21.000,organizational unit 65469,project 147649,task 152751,UNDEFINED
1579,Request For Payment SAVED by EMPLOYEE,STAFF MEMBER,2018/01/31 13:48:27.000,organizational unit 65461,UNKNOWN,UNKNOWN,EMPLOYEE
1827,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/02/16 16:14:55.000,organizational unit 65456,project 147582,UNKNOWN,EMPLOYEE
1827,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/02/16 16:15:01.000,organizational unit 65456,project 147582,UNKNOWN,ADMINISTRATION
1827,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/02/19 10:58:39.000,organizational unit 65456,project 147582,UNKNOWN,SUPERVISOR
1827,Request Payment,SYSTEM,2018/02/20 08:12:07.000,organizational unit 65456,project 147582,UNKNOWN,UNDEFINED
1827,Payment Handled,SYSTEM,2018/02/22 17:30:41.000,organizational unit 65456,project 147582,UNKNOWN,UNDEFINED
5194,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/10/02 04:11:52.000,organizational unit 65465,project 147582,task 7924,EMPLOYEE
5194,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/10/02 04:11:56.000,organizational unit 65465,project 147582,task 7924,ADMINISTRATION
5194,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/10/02 10:08:55.000,organizational unit 65465,project 147582,task 7924,SUPERVISOR
5194,Request Payment,SYSTEM,2018/10/05 12:37:33.000,organizational unit 65465,project 147582,task 7924,UNDEFINED
5194,Payment Handled,SYSTEM,2018/10/08 17:31:17.000,organizational unit 65465,project 147582,task 7924,UNDEFINED
4870,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/09/13 11:46:39.000,organizational unit 65461,project 151000,task 26863,EMPLOYEE
4870,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/09/13 11:54:13.000,organizational unit 65461,project 151000,task 26863,ADMINISTRATION
4870,Request For Payment APPROVED by BUDGET OWNER,STAFF MEMBER,2018/09/27 08:47:18.000,organizational unit 65461,project 151000,task 26863,BUDGET OWNER
4870,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/10/02 20:32:34.000,organizational unit 65461,project 151000,task 26863,SUPERVISOR
4870,Request Payment,SYSTEM,2018/10/04 09:37:47.000,organizational unit 65461,project 151000,task 26863,UNDEFINED
4870,Payment Handled,SYSTEM,2018/10/08 17:31:17.000,organizational unit 65461,project 151000,task 26863,UNDEFINED
5297,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/10/08 11:12:16.000,organizational unit 65477,UNKNOWN,UNKNOWN,EMPLOYEE
5297,Request For Payment REJECTED by ADMINISTRATION,STAFF MEMBER,2018/10/08 11:14:22.000,organizational unit 65477,UNKNOWN,UNKNOWN,ADMINISTRATION
5297,Request For Payment REJECTED by EMPLOYEE,STAFF MEMBER,2018/10/08 16:57:49.000,organizational unit 65477,UNKNOWN,UNKNOWN,EMPLOYEE
3064,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/05/04 14:54:25.000,organizational unit 65469,UNKNOWN,UNKNOWN,EMPLOYEE
3064,Request For Payment REJECTED by ADMINISTRATION,STAFF MEMBER,2018/05/04 14:59:20.000,organizational unit 65469,UNKNOWN,UNKNOWN,ADMINISTRATION
3064,Request For Payment REJECTED by EMPLOYEE,STAFF MEMBER,2018/05/08 09:04:03.000,organizational unit 65469,UNKNOWN,UNKNOWN,EMPLOYEE
1835,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/02/19 10:48:49.000,organizational unit 65468,project 147556,task 154404,EMPLOYEE
1835,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/02/19 11:17:30.000,organizational unit 65468,project 147556,task 154404,ADMINISTRATION
1835,Request For Payment APPROVED by BUDGET OWNER,STAFF MEMBER,2018/02/19 14:13:29.000,organizational unit 65468,project 147556,task 154404,BUDGET OWNER
1835,Request For Payment REJECTED by SUPERVISOR,STAFF MEMBER,2018/02/26 05:15:16.000,organizational unit 65468,project 147556,task 154404,SUPERVISOR
1835,Request For Payment REJECTED by EMPLOYEE,STAFF MEMBER,2018/02/28 11:43:53.000,organizational unit 65468,project 147556,task 154404,EMPLOYEE
1835,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/02/28 12:22:21.000,organizational unit 65468,project 147556,task 154404,EMPLOYEE
1835,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/02/28 12:22:41.000,organizational unit 65468,project 147556,task 154404,ADMINISTRATION
1835,Request For Payment APPROVED by BUDGET OWNER,STAFF MEMBER,2018/02/28 12:57:55.000,organizational unit 65468,project 147556,task 154404,BUDGET OWNER
1835,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/03/02 15:37:05.000,organizational unit 65468,project 147556,task 154404,SUPERVISOR
1835,Request Payment,SYSTEM,2018/03/10 16:53:09.000,organizational unit 65468,project 147556,task 154404,UNDEFINED
1835,Payment Handled,SYSTEM,2018/03/15 17:31:16.000,organizational unit 65468,project 147556,task 154404,UNDEFINED
5098,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/09/26 13:20:44.000,organizational unit 65463,project 147531,UNKNOWN,EMPLOYEE
5098,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/09/26 13:23:47.000,organizational unit 65463,project 147531,UNKNOWN,ADMINISTRATION
5098,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/09/26 15:24:06.000,organizational unit 65463,project 147531,UNKNOWN,SUPERVISOR
5098,Request Payment,SYSTEM,2018/09/26 20:13:12.000,organizational unit 65463,project 147531,UNKNOWN,UNDEFINED
5098,Payment Handled,SYSTEM,2018/10/01 17:31:15.000,organizational unit 65463,project 147531,UNKNOWN,UNDEFINED
1000,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2017/12/04 09:32:08.000,organizational unit 65463,project 147620,task 76059,EMPLOYEE
1000,Request For Payment APPROVED by PRE_APPROVER,STAFF MEMBER,2017/12/04 09:32:11.000,organizational unit 65463,project 147620,task 76059,PRE_APPROVER
1000,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2017/12/05 08:32:40.000,organizational unit 65463,project 147620,task 76059,SUPERVISOR
1000,Request Payment,SYSTEM,2017/12/08 09:51:04.000,organizational unit 65463,project 147620,task 76059,UNDEFINED
1000,Payment Handled,SYSTEM,2017/12/11 17:31:26.000,organizational unit 65463,project 147620,task 76059,UNDEFINED
2644,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/04/05 17:16:05.000,organizational unit 65482,project 147620,UNKNOWN,EMPLOYEE
2644,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/04/05 17:16:58.000,organizational unit 65482,project 147620,UNKNOWN,ADMINISTRATION
2644,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/04/06 12:28:07.000,organizational unit 65482,project 147620,UNKNOWN,SUPERVISOR
2644,Request Payment,SYSTEM,2018/04/10 08:19:02.000,organizational unit 65482,project 147620,UNKNOWN,UNDEFINED
2644,Payment Handled,SYSTEM,2018/04/12 17:31:12.000,organizational unit 65482,project 147620,UNKNOWN,UNDEFINED
6585,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/12/12 17:19:43.000,organizational unit 65469,project 503,UNKNOWN,EMPLOYEE
6585,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/12/12 17:19:46.000,organizational unit 65469,project 503,UNKNOWN,ADMINISTRATION
6585,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/12/13 11:06:51.000,organizational unit 65469,project 503,UNKNOWN,SUPERVISOR
6585,Request Payment,SYSTEM,2018/12/14 13:07:09.000,organizational unit 65469,project 503,UNKNOWN,UNDEFINED
6585,Payment Handled,SYSTEM,2018/12/17 17:31:09.000,organizational unit 65469,project 503,UNKNOWN,UNDEFINED
5669,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/10/27 19:21:36.000,organizational unit 65462,project 147620,UNKNOWN,EMPLOYEE
5669,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/10/27 19:22:04.000,organizational unit 65462,project 147620,UNKNOWN,ADMINISTRATION
5669,Request For Payment APPROVED by BUDGET OWNER,STAFF MEMBER,2018/10/31 12:04:19.000,organizational unit 65462,project 147620,UNKNOWN,BUDGET OWNER
5669,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/11/01 09:30:34.000,organizational unit 65462,project 147620,UNKNOWN,SUPERVISOR
5669,Request Payment,SYSTEM,2018/11/07 08:43:34.000,organizational unit 65462,project 147620,UNKNOWN,UNDEFINED
5669,Payment Handled,SYSTEM,2018/11/08 17:31:15.000,organizational unit 65462,project 147620,UNKNOWN,UNDEFINED
5735,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/10/31 09:47:39.000,organizational unit 65489,project 147620,UNKNOWN,EMPLOYEE
5735,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/10/31 09:56:10.000,organizational unit 65489,project 147620,UNKNOWN,ADMINISTRATION
5735,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/11/01 12:49:51.000,organizational unit 65489,project 147620,UNKNOWN,SUPERVISOR
5735,Request Payment,SYSTEM,2018/11/01 14:32:30.000,organizational unit 65489,project 147620,UNKNOWN,UNDEFINED
5735,Payment Handled,SYSTEM,2018/11/05 17:31:19.000,organizational unit 65489,project 147620,UNKNOWN,UNDEFINED
3206,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/05/17 13:22:20.000,organizational unit 65465,project 160657,UNKNOWN,EMPLOYEE
3206,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/05/17 13:22:35.000,organizational unit 65465,project 160657,UNKNOWN,ADMINISTRATION
3206,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/05/17 15:17:56.000,organizational unit 65465,project 160657,UNKNOWN,SUPERVISOR
3206,Request Payment,SYSTEM,2018/05/22 09:56:51.000,organizational unit 65465,project 160657,UNKNOWN,UNDEFINED
3206,Payment Handled,SYSTEM,2018/05/24 17:31:08.000,organizational unit 65465,project 160657,UNKNOWN,UNDEFINED
3639,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/06/14 11:28:21.000,organizational unit 65454,project 147582,UNKNOWN,EMPLOYEE
3639,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/06/14 11:28:39.000,organizational unit 65454,project 147582,UNKNOWN,ADMINISTRATION
